Work Order,Description,Work Type,Location
WDW1121528,"Underframe - 425017 - Sander on A side, inadequate sand coming out.",CM,707017
WDW1121524,"Underframe - 421017 - Sander on B side, no sand coming out",CM,707017
WDW1121523,UNDER FRAME - LATHE -- Wheel lathe required all axles,CM,707026
WDW1121515,CAB-425021-HMI Blank,CM,707021
WDW1121500,CSW replaced,CM,BROKEN-WD
WDW1121498,CAB- 421030  HMI power up issues,CM,707030
WDW1121493,UNDERFRAME - WHEELS -LATHE -422 check & turn,CM,707023
WDW1121492,Cab - 421023 - Spyglass on cab backwall door broken,CM,707023
WDW1121491,Cab - 425023 - Detonators require replaced at next exam,CM,707023
WDW1121490,Cab - 421023 - Detonators require replaced at next exam,CM,707023
WDW1121489,UNDERFRAME - 425023 - Check Wheel 2 axle end for any oil residue and earth return flange security.,CM,707023
WDW1121488,UNDERFRAME - 425023 - Wheel 2 of the 425 coach earth return flange is not sat flush,CM,707023
WDW1121487,DOO camera installed,CM,BROKEN-WD
WDW1121381,HVAC - 707017 -  Cab Heating Failure (See Long description),CM,707017
WDW1121378,"POWER SUPPLY - 707019 - Numerous,  Spurious messages showing on ComRL",CM,707019
WDW1121377,"POWER SUPPLY - 707014 - Numerous,  Spurious messages showing on ComRL.",CM,707014
WDW1121325,PIS - 424023 - PIS screens not working,CM,707023
WDW1121280,PN 425030 ETB link line B2/A2 (direction inside) faulty,CM,707030
WDW1121275,"PIS 421030 PA handset base broken, replace",CM,707030
WDW1121274,PN - ETB link defective from stores (TO RETURN),CM,
WDW1121273,HVAC 421030 cab roof panel leaking water,CM,707030
WDW1121271,PN - 421030 - SPSW switch defective,CM,707030
WDW1121264,CAB - 421023 - Noise and vibration behind driver,CM,707023
WDW1121156,SAFETY - 421016 - Loss of OTDR/JRU in trailing coach. Cab is buried,CM,707016
WDW1121155,PIS - 421014 - PIS screens are blank and no pre recorded announcements playing in this coach,CM,707014
WDW1121154,PIS - PIS fault in coach 422014,CM,707014
WDW1121153,DOORS - 425016 - Door control fault driver desk left coach 425,CM,707016
WDW1121152,DOORS- 425016 - Desk signal bell button not working,CM,707016
WDW1121150,PN - 421030 - ETB-A1 fault,CM,707030
WDW1121149,ETB-A1 fault,CM,707030
WDW1121147,SAFETY-421030 RBA -DMI Blank -MON till 21/01/23,CM,707030
WDW1121146,INTERIOR-707014-CAB FIRE EXTINGUISHER OUT OF DATE,CM,707014
WDW1121144,INTERIOR0-707019-FIRE EXTINGUISHERS OUT OF DATE,CM,707019
WDW1121142,DOORS - 423020 GOP lock faulty 'D' door,CM,707020
WDW1121141,BLG replaced RBF,CM,707001
WDW1121140,RBF Battery Charger defective,CM,707001
WDW1121139,DOORS - 421018 - GOP faulty at door D coach 421,CM,707018
WDW1121134,,CM,
WDW1121133,PIS - 421022 - Intermittent Display (See Long Description),CM,707022
WDW1121131,Safety - 422020 - Smoke detector needs replaced as fan is noisy and vibrating,CM,707020
WDW1121130,Cab 421020 - Cab door E door close button protective flap spring fitted incorrectly,CM,707020
WDW1121079,SAFETY - 421030 - Train stop override not working,CM,707030
WDW1121078,SAFETY - 421024 - Loss of OTDR/JRU in leading coach. Relevant mcb's trip/reset & fault cleared,CM,707024
WDW1121076,UNDERFRAME-425-Flange lube not working,CM,707015
WDW1121075,UNDERFRAME-421-Flange lube not working,CM,707015
WDW1121059,CAB-421-Drivers seat tension spring broken,CM,707015
WDW1121055,DOORS - 421015 - CAB door F Drop-light faulty,CM,707015
WDW1121053,INTERIOR - 424015 - Ceiling panel latch in saloon jammed,CM,707015
WDW1121052,DOORS - 421015 - Door set 'A' Light barrier defective,CM,707015
WDW1121050,PIS - 425018 SC is offline,CM,707018
WDW1121048,HVAC-423 Saloon HVAC Ventilation Failure. (RAR),CM,707020
WDW1121047,DOORS-421020 Doors ABCDEF hardware standstill signal not plausible(LOM till 22/01),CM,707020
WDW1121046,CAB - Drivers seat repair,CM,
WDW1121041,Battery charger change LSER BLG2 422,CM,707025
WDW1121009,Cab 421019/425/019 - Seat tension springs to be rechecked,CM,707019
WDW1121008,CAB - 425022 - Drivers seat slide latch not securing without being pushed into lock position,CM,707022
WDW1121005,Underframe - 707014 - Sanding level checks overdue - Levels to top as required.,CM,707014
WDW1121004,Underframe - 707019 - Sanding level checks overdue - Levels to top as required.,CM,707019
WDW1121003,Underframe - 707021 - Sanding level checks overdue - Levels to top as required.,CM,707021
WDW1121001,Underframe - 707020 - Sanding level checks overdue - Levels to top as required.,CM,707020
WDW1121000,Underframe - 707015 -Sanding level checks overdue - Levels to top as required.,CM,707015
WDW1120999,Underframe - 707030 - Sanding level checks overdue - Levels to top as required.,CM,707030
WDW1120998,Underframe - 707022 - Sanding level checks overdue - Levels to top as required.,CM,707022
WDW1120997,Underframe 707017 - Sanding level checks overdue - Levels to top as required.,CM,707017
WDW1120994,Cab - 421022 - Drivers Seat S/N Conformation,CM,707022
WDW1120993,Cab - 425022 - Drivers Seat S/N Conformation,CM,707022
WDW1120987,HVAC-425019-No cab heat. Req to trip/reset cab & Saloon mcb's,CM,707019
WDW1120986,SAFETY-425020-GSMR Issues Handset not working.,CM,707020
WDW1120984,DOORS-424-423-D Doors close button not working.,CM,707016
WDW1120983,CCTV-424-DOO camera flickering and not streaming.,CM,707016
WDW1120982,INTERIOR-707016-Various 230v socket covers broken/cracked,CM,707016
WDW1120971,BOGIES-707016-Various leaking axle end caps,CM,707016
WDW1120970,UNDERFRAME-707019-Sanding level checks overdue - Levels to top as required.,CM,707019
WDW1120968,UNDERFRAME-707017-Sanding level checks overdue - Levels to top as required.,CM,707017
WDW1120967,UNDERFRAME-707015-Sanding level checks overdue - Levels to top as required.,CM,707015
WDW1120966,UNDERFRAME-707014-Sanding level checks overdue - Levels to top as required.,CM,707014
WDW1120964,UNDERFRAME-707020-Sanding level checks overdue - Levels to top as required.,CM,707020
WDW1120963,UNDERFRAME-707021-Sanding level checks overdue - Levels to top as required.,CM,707021
WDW1120961,UNDERFRAME-707022-Sanding level checks overdue - Levels to top as required.,CM,707022
WDW1120960,UNDERFRAME-707030-Sanding level checks overdue - Levels to top as required.,CM,707030
WDW1120959,BRAKES-421014-Loss of pneumatic brake force reported but then cleared,CM,707014
WDW1120856,SAFETY-425-Loss of OTDR/JRU in leading coach,CM,707023
WDW1120838,Safety - 425019 - Vigilance self-test cancelled,CM,707019
WDW1120733,Cab - 421016 - Spotlight in cab at backwall door not working,CM,707016
WDW1120729,FAULTY FROM STORES,CM,MAIN-WD
WDW1120711,DOO camera change Grey to Orange,CM,707017
WDW1120710,DOO camera change Grey to Orange RB2 (424),CM,707017
WDW1120709,DOO camera change Grey to Orange RB6 (423),CM,707017
WDW1120708,DOO  Camera change - Grey to Orange (422),CM,707017
WDW1120707,HVAC - 425030 No cab Heating,CM,707030
WDW1120704,SAFETY - 425019 - OTDR Fault,CM,707019
WDW1120702,CPMM2 changed 421 due to data memory fault,CM,707025
WDW1120701,CPMM2 changed 421 due to data memory fault,CM,707007
WDW1120700,CPMM2 changed 421 due to data memory fault,CM,707027
WDW1120699,CCTV - DOO CCTV Fault A2251B52,CM,707030
WDW1120690,POWER SUPPLY-423- HMI only showing 1 battery charger working.,CM,707023
WDW1120470,INTERIOR-423019-missing fire extinguisher,CM,707019
WDW1120232,Doors - 421015 - Saloon door A light barrier not working,CM,707015
WDW1120231,Safety - 425023 - Loss of OTDR/JRU,CM,707023
WDW1120220,DOO V2 Camera Replacement - Grey to Orange,CM,707015
WDW1120219,DOO V2 Camera Replacement - Grey to Orange,CM,707015
WDW1120218,DOO V2 Camera Replacement - Grey to Orange,CM,707015
WDW1120217,DOO V2 Camera Replacement - Grey to Orange,CM,707015
WDW1120216,DOO V2 Camera Replacement - Grey to Orange,CM,707015
WDW1120215,DOO V2 Camera Replacement - Grey to Orange,CM,707015
WDW1120214,DOO V2 Camera Replacement - Grey to Orange,CM,707015
WDW1120213,DOO V2 Camera Replacement - Grey to Orange,CM,707015
WDW1120212,DOO V2 Camera Replacement - Grey to Orange,CM,707015
WDW1120211,DOO V2 Camera Replacement - Grey to Orange,CM,707015
WDW1120210,DOO V2 Camera Replacement - Grey to Orange,CM,707015
WDW1120209,CAB-707015-low screenwash,CM,707015
WDW1120206,SAFETY - 421023 - HMI Blank,CM,707023
WDW1120203,UNDER-FRAME - 421024 - ARC Shield cracked,CM,707024
WDW1120202,UNDERFRAME - WHEELS - LATHE - wheel turning required,CM,707024
WDW1120198,PIS-707023-Fall back mode activated.,CM,707023
WDW1120196,SAFETY - 421020 Start bells very quiet.,CM,707020
WDW1120194,SAFETY - 421014 No start bells from cab.,CM,707014
WDW1119951,FAULTY FROM SUPPLIER,CM,
WDW1119948,DOORS - 425024 – Doors 'A' serial number check of DCU,CM,707024
WDW1119947,Doors - 421014 - Cab door E comms failure,CM,707014
WDW1119946,SPSR - 421 SPSR A1 lost power,CM,707018
WDW1119941,INTERIOR-707017-SQE - 1633072 - no PIS or automated announcements working,CM,707017
WDW1119925,CAB-425- Emergency spot light not working,CM,707014
WDW1119920,Safety - Loss of OTDR/JRU in RBA,CM,707022
WDW1119919,UNDERFRAME-421- Wheel 1 & 8 end caps leaking,CM,707030
WDW1119915,UNDERFRAME-LATHE - 424-423-Wheels require turning,CM,707030
WDW1119913,UNDEFRAME - 421004 - Wheels 2 and 7 found with cavities,CM,707004
WDW1119911,CCTV - DOO function fault,CM,707017
WDW1119910,SAFETY - 42417 - Fire extinguisher missing,CM,707017
WDW1119908,Underframe - Axle end caps to replace on spare bogie Ser No. 128617,CM,MAIN-WD
WDW1119891,Battery charger replace RB6,CM,707006
WDW1119890,battery charger replaced RBF,CM,707006
WDW1119889,SAFETY - 421023 - GSM-R fault,CM,707023
WDW1119882,SAFETY-425017-OTDR fault trailing vehicle,CM,707017
WDW1119881,Battery charger fault,CM,707013
WDW1119879,Battery charger failed.,CM,707013
WDW1119876,POWER SUPPLY - Visual check of shoegear post 7022 incident,CM,707017
WDW1119874,CAB-421017-Door control fault driver desk left coach 421 912116ed,CM,707017
WDW1119871,CAB-421017-Door control fault on cab GOP in coach 421 912116f0,CM,707017
WDW1119870,Communication - 707024 - Unit not recording energy usage,CM,707024
WDW1119869,POWER SUPPLY - Visual check of shoegear post 7022 incident,CM,707014
WDW1119868,POWER SUPPLY - Visual check of shoegear post 7022 incident,CM,707023
WDW1119867,POWER SUPPLY - Visual check of shoegear post 7022 incident,CM,707022
WDW1119866,POWER SUPPLY - Visual check of shoegear post 7022 incident,CM,707030
WDW1119865,POWER SUPPLY - Visual check of shoegear post 7022 incident,CM,707024
WDW1119864,POWER SUPPLY - Visual check of shoegear post 7022 incident,CM,707016
WDW1119856,Safety Systems - 707015 - Smoke Detector Settings Change (422 & 425),CM,707015
WDW1119855,Safety Systems - 707014 - Smoke Detector Settings Change (421 & 422),CM,707014
WDW1119853,PIS - 421 Front LED error,CM,707015
WDW1119844,SAFETY - 421016 - AWS activation,CM,707016
WDW1119678,Underframe - 425 - Asset swap from B2 7022 Axle 2.,CM,707022
WDW1119563,UNDERFRAME-425022-Detached sanding pipe,CM,707022
WDW1119538,,CM,
WDW1119492,Saloon HVAC failure,CM,707001
WDW1119473,Saloon HVAC replaced,CM,707001
WDW1119268,Underframe - 422014 Battery charger BLG1 not operating,CM,BROKEN-WD
WDW1119267,CAB-421-Direction switch fault,CM,707015
WDW1119266,Cab - 421016 - back Wall Door Lock Defective,CM,707016
WDW1119265,CAB-425018-cup holder damaged.,CM,707018
WDW1119264,CAB-425018-Door E opened door switch flap broken.,CM,707018
WDW1119263,SAFETY-707024-Detonators due to expire in Jan.,CM,707024
WDW1119237,SAFETY-CAB- Both sets of DETS out of date.,CM,707022
WDW1119130,Underframe - 425023 - Wheel 8 Axle End Cover Leaking,CM,707023
WDW1119125,Doors - 425015 - GOP Door Control Fault,CM,707015
WDW1119122,BRAKES - 424014 - Dragging brakes,CM,707014
WDW1119121,DCU fault on 424 coach door c,CM,707016
WDW1119120,meduim fault gateway valve. See long,CM,707017
WDW1119119,HVAC control unit K100 swap,CM,707001
WDW1119109,HVAC - ++RBF TE - HVAC-F1: Faulty - RAR,CM,707021
WDW1119107,SAFETY-421015-Loss of OTDR,CM,707015
WDW1119096,PIS - 422014 - Side PIS display not working side 'A',CM,707014
WDW1119092,UNDERFRAME-425022-Axle end covers on Bogie 1 to be replaced,CM,707022
WDW1119090,CAB - 425022 -  Drivers seat not dropping down,CM,707022
WDW1119086,UNDERFRAME-425022- BOGIE 1WHEELSET CHANGE AXLE2,CM,707022
WDW1119085,UNDERFRAME-425022-BOGIE 1 WHEELSET CHANGE AXLE1,CM,707022
WDW1119082,PIS - 421022 - MMI Fault - See long description,CM,707022
WDW1119079,ENTERTAINMENT - WIFI issues - See email for details,CM,707018
WDW1119078,UNDERFRAME-425-Carry out RFBE005 on both the bogies,CM,707022
WDW1119077,PIS - Multiple defects reported by SWR SQE auditor - See long description,CM,707020
WDW1118974,UNDERFRAME - 425022 - Both bogies on 425 coach have wrong type hold down plugs. See photo.,CM,707022
WDW1118962,SAFETY-421021-GSMR handset broken,CM,707021
WDW1118958,Underframe - 425022 - Coach & Bogie Heights,CM,707022
WDW1118957,Underframe - 425/421 - No2 Motor Bogie Rebuild -Ser No 128614,CM,707022
WDW1118956,Underframe - 425/421 - No1 Motor Bogie Axle change and  Rebuild,CM,
WDW1118955,CCTV - DOO Function fault in 424017,CM,707017
WDW1118952,HVAC - ++RB6 TE - HVAC-61: Faulty - RAR,CM,707016
WDW1118950,ETB link changed. ETB link to quarantine LOM,CM,707013
WDW1118949,power supply changed LOM,CM,707013
WDW1118943,Cab - 425022 - Drivers Seat Bowden Cable Replacement,CM,707022
WDW1118938,ETB link fault 421 - see long,CM,707013
WDW1118933,"Power Supply - 707018 - No data received from energy meter, since 05/09/2022",CM,707018
WDW1118930,HVAC - ++RBF TE - HVAC-F1: Faulty - RAR,CM,707021
WDW1118929,SAFETY - 425023 Possible AWS PB failure,CM,707023
WDW1118925,Underframe - 425022 - Replace bogie 2 as result of dragging brakes,CM,707022
WDW1118924,Underframe - 425022 - Replace bogie 1 as result of dragging brakes,CM,707022
WDW1118923,HVAC - ++RBF TE - HVAC-F1: Faulty,CM,707015
WDW1118922,PIS - Throughout the entire unit the PIS is announcing the station but the screens are,CM,707015
WDW1118790,DOO CAMERA Upgrade to v2,CM,BROKEN-WD
WDW1118788,DOO CAMERA FAULTY FROM STORES,CM,BROKEN-WD
WDW1118786,INTERIOR-707014-Various 230V socket covers need replacing.,CM,707014
WDW1118785,HMI Blank,CM,BROKEN-WD
WDW1118781,Brakes - Dragging brake on Bogie1 and Bogie2 of 425022,CM,707022
WDW1118778,Brakes not releasing,CM,707016
WDW1118774,Brakes not releasing,CM,707016
WDW1118763,Underframe - 422014 Battery charger BLG1 not operating,CM,707014
WDW1118762,Safety - 425022 - Driver Unable To Enter ID,CM,707022
WDW1118761,Cab - 421020 - Driver's seat has excessive play. Possible pedestal change required,CM,707020
WDW1118759,Underframe - 425014 - Bogie 1 A side shoegear assembly bolts to change out as per RFBE005,CM,707014
WDW1118745,Underframe - 425014 - Bogie 1 A side shoegear damaged,CM,707014
WDW1118740,Interior - 424 - Power Socket Defective 'B' Doors,CM,707014
WDW1118739,"Power Supply - 424024 - No data received from energy meter, since 14/10/2022",CM,707024
WDW1118725,,CM,
WDW1118596,Battery - 422016 BLG2 faulty. Charger to change,CM,707016
WDW1118594,Doors - 424 door B light barrier fault,CM,707019
WDW1118591,UNDERFRAME-425017-LEAKING AXLE END COVER (wheel1),CM,707017
WDW1118590,UNDERFRAME-421017-LEAKING AXLE END COVER (Wheel1),CM,707017
WDW1118589,UNDERFRAME - 421016 - Bogie 1 air spring restricted code 1421,CM,707016
WDW1118480,SAFETY - 421019 - GSMR Cab Radio fault,CM,707019
WDW1118479,425011 DOO side B camera failed stream,CM,707011
WDW1118477,Cab - 425020 - Spotlight at cab backwall door not working,CM,707020
WDW1118476,CCTV - 421017 - Top monitor requires replaced as pixels/colour distorted,CM,707017
WDW1118474,DOO CAMERA FAULTY FROM STORES,CM,MAIN-WD
WDW1118450,UNDERFRAME-421-Aside flange lube hose broken.,CM,707014
WDW1118449,CAB-707018-33 00 0748: DDS moved while train in motion,CM,707018
WDW1118318,PIS - 422023 - No PIS announcements and GOP handsets faults in this coach,CM,707023
WDW1118092,Communication - 707024 - No energy data - check RDA,CM,707024
WDW1118023,Cab  - 425023 - Cab fire extinguisher out of date,CM,707023
WDW1118013,DOORS-423-D doors LOOU. Red door fault on HMI,CM,707014
SGW1000260,Safety -  C707 SE - 424012 - Smoke Detector Replacement,CM,
SGW1000259,Safety - C707 SE - 425010 - Smoke Detector Replacement,CM,
SGW1000258,Safety - C707 SE - 424010 - Smoke Detector Replacement,CM,
SGW1000257,Safety - C707 SE - 421010 - Smoke Detector Replacement,CM,
SGW1000256,Safety - C707 SE - 421009 - Smoke Detector Replacement,CM,
SGW1000255,Safety - C707 SE - 424008 - Smoke Detector Replacement,CM,
SGW1000254,Safety - C707 SE - 421008 - Smoke Detector Replacement,CM,
SGW1000253,Safety - C707 SE - 424006 - Smoke Detector Replacement,CM,
SGW1000252,Safety - C707 SE - 423006 - Smoke Detector Replacement,CM,
SGW1000251,Safety - C707 SE - 421003 - Smoke Detector Replacement,CM,
WDW1117986,Power supply - 422 battery charger BLG02 showing on HMI as failed(PAR),CM,707024
WDW1117983,Safety  - 424020 - Smoke detector showing poor airflow state,CM,707020
WDW1117982,Safety - 421020 - Smoke detector showing poor airflow state,CM,707020
WDW1117981,,CM,707016
WDW1117980,Safety - 425014 - Smoke detector showing poor airflow state,CM,707014
WDW1117979,Safety - 423030 - Smoke detector showing poor detector state,CM,707030
WDW1117978,Safety- 424024 - Smoke detector showing poor detector state,CM,707024
WDW1117977,Safety - 424020 - Smoke detector showing poor detector state,CM,707020
WDW1117976,Safety - 425019 - Smoke detector showing poor detector state,CM,707019
WDW1117975,Safety - 421017 - Smoke detector showing poor detector state,CM,707017
WDW1117974,Safety - 425016 - Smoke detector showing poor detector state,CM,707016
WDW1117973,INTERIOR-UNIT-2x Priority labels and 1 break glass required,CM,707021
WDW1117957,Communication - 707024 - Unit not recording energy usage(PAR),CM,707024
WDW1117944,BRAKES-422-Brake contactor failure- 51220B7F. TIN (LOM 13/10),CM,707017
WDW1117943,SAFETY - 421022 - Loss of OTDR/JRU,CM,707022
WDW1117942,CAB-421- Emergency spot light not working,CM,707014
WDW1117941,Cab - 425014 - Spotlight at cab backwall door not working,CM,707014
WDW1117927,Interior - 425030 - Ceiling panel catch needs replaced,CM,707030
WDW1117916,Safety - 421016 - Low sand alert,CM,707016
WDW1117913,SAFETY - 421024 - OTMR/JRU fault - leading cab,CM,707024
WDW1117911,UNDERFRAME - 421015 - Flange lube not working,CM,707015
WDW1117907,Cab - 421015 - Spotlight at cab backwall door not working,CM,707015
WDW1117891,SPCS--11 not available (auto generated),CM,707004
WDW1117888,UNDERFRAME-WHEELS - Lathe required to re-profile,CM,707015
WDW1117879,DOO Function fault - 424 DOO A Camera,CM,707017
WDW1117849,SAFETY - 421022 - GSMR not working and displaying fault but no code,CM,707022
WDW1117835,Cab - 421016 - Drivers seat cushion torn,CM,707016
WDW1117831,425025- Cab Wiper has no moment via spindle,CM,707025
WDW1117817,INTERIOR-707022-insulation tape missing in safety cupboard,CM,707022
WDW1117805,Safety - 421017 - Smoke detector state at -92%. Detector requires changed out,CM,707017
WDW1117661,HVAC - 423016 - COMRL showing HVAC failure RAR,CM,707016
WDW1117649,425 Side A DOO failed stream,CM,707013
WDW1117645,SAFETY - 422014 - Smoke detector failure Saloon in coach 422,CM,707014
WDW1117642,HVAC – 425014 - Cab HVAC not working-MON till 30/09/22,CM,707014
WDW1117641,UNDERFRAME - 421023 - Motor encoder fault on 421023 – TCU-A1,CM,707023
WDW1117640,HVAC – 425023 - Cab HVAC not working-MON till 30/09/22,CM,707023
WDW1117637,425016 WHEEL 8 AXLE END REPORTED AS LEAKING GREASE,CM,707016
WDW1117636,CAB - Rotary switch fault 62251458D,CM,707014
WDW1117635,CAB-425014-External light rotary switch fault coach 425,CM,707014
WDW1117633,DOORS-421020-Cab GOP door control buttons not working NDS,CM,707020
WDW1117630,DOORS - 425024 - Door 'A' Major fault found on prep,CM,707024
WDW1117629,SAFETY-421030-GSMR stuck or de-registration TIN,CM,707030
WDW1117628,SAFETY - RBA Lost of JRU in Trailing Cab,CM,707016
WDW1117626,INTERIOR - 425022 - Ceiling catch damaged,CM,707022
WDW1117622,CAB-421- Emergency spot light not working-MON till 07/10/2022,CM,707018
WDW1117464,HVAC-707024-HVAC not cooling,CM,707024
WDW1117463,HVAC-707022-ac/ventilation not working throughout the train,CM,707022
WDW1117460,INTERIOR-various passenger seat bases stained to re be replaced.,CM,707021
WDW1117454,SAFETY - 425020 - Loss of OTDR/JRU in trailing coach,CM,707020
WDW1117452,CAB-707022-HMI Unreachable,CM,707022
WDW1117451,PIS-425014-PIS fallback mode,CM,707014
WDW1117450,DVR change 425,CM,707027
WDW1117303,Safety - 425019 - OTMR/JRU failure. (boxed in cab),CM,707019
WDW1117287,CCTV - 425030 CCTV screen blank,CM,707030
WDW1117283,DVR replaced due to numerous reports of incorrect OTM mimic. WO raised for Asset swap.,CM,707027
WDW1117279,Exterior - 421017 - Saloon roof leak and water on floor after heavy rain storm,CM,707017
WDW1117255,SAFETY-421-DRA knob cracked.,CM,707023
WDW1117191,INTERIOR-UNIT- Various sockets and surrounds damaged,CM,707021
WDW1117170,Asset added for wrong vehicle WO for 027 not 009,CM,707009
WDW1117169,707027-425027- CCTV- DVR to be renewed by SE,CM,707027
WDW1117167,Safety - 425017 - Smoke detector failure,CM,707017
WDW1117166,Safety - 425016 - Smoke detector failure,CM,707016
WDW1117164,CCTV - 425014 - FF CCTV not being recorded,CM,707014
WDW1117117,INTERIOR - 421014 - Wall Damage - DEFECT 5,CM,707014
WDW1117085,BRAKES-425-Wheel 5 and 7 brake blocks have broken edges.,CM,707021
WDW1117021,,CM,
WDW1117013,,CM,
WDW1116935,707006-423006-HVAC- No comms to PN,CM,707006
WDW1116862,Underframe - 707021 - Lathe - Wheels require re-profiling. 421 & 425,CM,707021
WDW1116861,Cab - 425014 - Drivers seat heavy to raise up,CM,707014
WDW1116834,SAFETY-425020-LOSS OF OTDR/JRU in trailing coach,CM,707020
WDW1116832,UPGRADE NEEDED OF TPWS TESTER,CM,BROKEN-WD
WDW1116811,423 saloon HVAC controller replace,CM,707012
WDW1116787,Safety - 421014 - Loss of OTDR/JRU in leading coach,CM,707014
WDW1116786,INTERIOR-707024-BROKEN 230v SOCKETS,CM,707024
WDW1116656,CCTV - 425019 - DOO function fault,CM,707019
WDW1116655,SAFETY-421015-Loss of OTDR/JRU in trailing coach,CM,707015
WDW1116654,UNDERFRAME-707024-Paint damage on semipermanent coupler.,CM,707024
WDW1116639,DOORS-452-F Doordrop light seal damaged. Worsened Replace droplight,CM,707016
WDW1116637,UNDERFRAME-421024- brake block replace,CM,707024
WDW1116633,INTERIOR - 422018 - WIFI not working (coupled to 7030),CM,707018
WDW1116630,'++RB1 Line Filter Cooling - Fan controller (-HE-E01) fan 2 state (-HE-K05)(-HE-K06): redundancy faul,CM,707024
WDW1116626,PIS-424022-Handset PA system in GOP D1 is not working,CM,707022
WDW1116625,BRAKES-425022-Driver PAF En route reporting Minor loss of pneumatic - LOM till 08/09/22,CM,707022
WDW1116623,Cab - 425030 - Desklight not working,CM,707030
WDW1116622,SAFETY - ++RBA JRU fill level exceed 80 percent,CM,707024
WDW1116621,Underframe -423- Hot Axle Box - Temperature Acquisition Implausible: Axle 1 Left,CM,707024
WDW1116620,GOP-423-B1 door GOP door will not unlock,CM,707021
WDW1116593,RDA - 707024 - 0 energy data being received,CM,707024
WDW1116590,BLG - 423 BLG2 not operating,CM,707030
WDW1116576,INTERIOR-ALL-Various power sockets damaged.,CM,707018
WDW1116574,HVAC - 422 HVAC K100 controller  require changing RAR,CM,707015
WDW1116573,SAFETY - 421023 JRU Data Memory fault,CM,707023
WDW1116430,Cab - 421030 - Drivers seat cushion cover torn,CM,707030
WDW1116427,PIS - 421015 - Main PIS screen is blank,CM,707015
WDW1116425,PIS - 707023 - Main PIS display is blank 421/425 and small screen blank 423,CM,707023
WDW1116422,CAB - 425030 - DRA Switch cracked,CM,707030
WDW1116406,CAB - 421030 - DRA Switch cracked,CM,707030
WDW1116405,Safety - 424030 - Smoke detector failure,CM,707030
WDW1116404,JRU/ATO fault,CM,707023
WDW1116403,Cab - 421021 - Drivers footrest at lowest position has a lot of play,CM,707021
WDW1116402,Coupler - 421030/422030 - Paint damage to semi permanent coupler,CM,707030
WDW1116401,Underframe - 425018 - A side flange lube hose broken at elbow,CM,707018
WDW1116398,SAFETY-421-Smoke detector failure,CM,707014
WDW1116397,GSMR V4 Mod carried out by LSER 425011,CM,707011
WDW1116396,GSMR V4 Mod carried out by LSER 421011,CM,707011
WDW1116395,UNDERFRAME-421030- Cracked arc shield (Shoegear),CM,707030
WDW1116387,,CM,
WDW1116386,PIS Car controller failed. WO raised for asset swap,CM,707007
WDW1116385,HMI display failed. WO raised for asset swap.,CM,707026
WDW1116384,Saloon camera faulty. Blank image on OTM. WO raised for asset swap,CM,707001
WDW1116383,PC104 Bridge card replaced due to JRU/ATO communication fault - WO raised for asset swap,CM,707010
WDW1116373,INTERIOR – 422018 - #1551348 SQR Failure. a) A Wi-Fi connection to the internet is not possible.,CM,707018
WDW1116372,INTERIOR - 421028 - #1551346 SQR Failure. (a) A Wi-Fi connection to the internet is not possible.,CM,707028
WDW1116357,CCTV - DOO function fault,CM,707017
WDW1116355,DOORS - 421016 -  Cab-saloon door handle  broken,CM,707016
WDW1116354,CAB - 425021 - Screen wash low level,CM,707018
WDW1116352,SAFETY-425-smoke detector 425 is out of use.,CM,707015
WDW1116337,Interior - 425030 - Saloon litter bin lid damaged,CM,707030
WDW1116334,,CM,
WDW1116333,,CM,
WDW1116332,,CM,
WDW1116330,,CM,
WDW1116329,SAFETY-421-DRA switch knob cracked.,CM,707019
WDW1116204,Safety-423019-CFA SOS label damaged.,CM,707019
WDW1116203,INTERIOR-425019-Ceiling panel lock broken. see long description,CM,707019
WDW1116197,PIS – 422023 - PIS fault,CM,707023
WDW1116187,UNDERFRAME-423/424 paint damge on semi per coupler,CM,707019
WDW1116186,SAFETY - 421015 - 53 21 0FBF Smoke detector failure saloon end coach 421,CM,707015
WDW1116179,HMI Faulty from stores SWT10048712/SLBJ4450551,CM,
WDW1116151,SAFETY-425-DRA switch knob cracked.,CM,707020
WDW1116150,SAFETY-425-DRA switch knob cracked.,CM,707014
WDW1116149,SAFETY-421-DRA switch knob cracked.,CM,707014
WDW1116146,SAFETY-421-DRA switch knob cracked.,CM,707022
WDW1116145,SAFETY-425-DRA switch knob cracked.,CM,707022
WDW1116143,CAB – 421024 - HMI keeps blinking out. Driver requested to trip/ reset HMI display mcb,CM,707024
WDW1116142,DOORS - Door issues with 7016,CM,707016
WDW1115986,DOORS-421-A side desk door close button detached from contact block.,CM,707020
WDW1115983,SAFETY-425-DRA switch knob cracked.,CM,707024
WDW1115981,SAFETY-421-DRA switch knob cracked,CM,707024
WDW1115980,SAFETY-425- DRA switch knob cracked.,CM,707016
WDW1115976,UNDERFRAME  - WHEELS - All to be checked & turned where required,CM,707020
WDW1115975,HVAC - 423 HVAC half is cooling,CM,707016
WDW1115974,DOORS - 421020 - Cab door F exterior emergency door release not releasing door,CM,707020
WDW1115973,Exterior - 421020- Front bonnet cover rattling on bottom fixings,CM,707020
WDW1115972,UNDERFRAME-425020-axle end cap leaking wheel 1,CM,707020
WDW1115967,HVAC - 423021 - Saloon HVAC not working - LOM for a week till 18/08/22,CM,707021
